user_id,verified,name,username,location,text,source,possibly_sensitive,created_at,tweet_id,edit_history_tweet_ids,lang,type
872242163932954624,False,Dante123,Coloso1964,,@miseleccionmx que jueguen sin director tecnico y les va mejor,Twitter Web App,False,2022-11-28 18:44:48+00:00,1597300494229069825,['1597300494229069825'],es,replied_to
125116235,False,Araceli Oropeza Huer,Chellyoh,Querétaro,@rmagallan77 @Canelo @miseleccionmx De acuerdo ! Pedo! Ojalá ofrezca una disculpa pública !😓,Twitter for iPhone,False,2022-11-28 18:44:45+00:00,1597300480170156035,['1597300480170156035'],es,replied_to
129323393,False,victor,huesos44,,"@RaulOrvananos @miseleccionmx Eso es obvio, aunque para ganar hay que meter goles. Y para meter goles hay que recuperar balones y ser más rápidos que los árabes.",Twitter for iPhone,False,2022-11-28 18:44:28+00:00,1597300410074947585,['1597300410074947585'],es,replied_to
846825355,False,lizbeth leyva ,lizbethleyva5,Sinaloa,"@miseleccionmx No sé cansen mucho, si ganan argentina pasa y el tata habrá cumplido su cometido.",Twitter for Android,False,2022-11-28 18:44:22+00:00,1597300382073753600,['1597300382073753600'],es,replied_to
1412078984184033287,False,Alejandro,MxPensemos,Noroeste de México.,"@_MarcoCamacho_ @rgaribay_10 @miseleccionmx @HenryMartinM Y a la selección también afectaron con salirse de la copa América.

En todo caso son los mismos responsables los dueños, dejar de consumir su producto es la vía.",Twitter Web App,False,2022-11-28 18:44:11+00:00,1597300336188063744,['1597300336188063744'],es,replied_to
2952998067,False,Abraham Lasnalg 🇶🇦 🇲🇽 🇺🇸,geo_jerry,"Dallas, TX","@enfadosoinc @miseleccionmx No puedo estar mas de acuerdo con tu comentario, es vdd que no somos Brasil, entonces pongamos los pies sobre la tierra y pongamonos a trabajar para que en 20 años puedamos aspirar a serlo, tengo esos 20 años estancado viendo lo mismo y nada que evoluciona",Twitter Web App,False,2022-11-28 18:44:09+00:00,1597300328214327296,['1597300328214327296'],es,replied_to
1225143372580605952,False,Caleb Pérez,MaticesSin,,@miseleccionmx @Lc24C Inútiles,Twitter for Android,False,2022-11-28 18:44:05+00:00,1597300313337212928,['1597300313337212928'],es,replied_to
979846078550986753,False,Masperfectaquenormal,Barbaralopezjv2,,No paren de trotar hasta llegar a su casa porfa!!. https://t.co/EhHwEXlkRG,Twitter for Android,False,2022-11-28 18:44:01+00:00,1597300297390764032,['1597300297390764032'],es,quoted
288430099,False,Matias,JCRDZ777,"Jalisco, México",@miseleccionmx @HenryMartinM Me cago en la madre que lo parió. Yo llevo los mismos goles que este muerto en un mundial,Twitter for Android,False,2022-11-28 18:44:00+00:00,1597300291564875776,['1597300291564875776'],es,replied_to
232299027,False,Ramon Santoyo 💫,aptanetworks,"Cuernavaca, Morelos.","Todo el mundo se dió cuenta del ""arreglo"" entre argentinos para eliminar a @miseleccionmx menos los Federativos Mexicanos !!!

https://t.co/E5n4Got2Ye",Twitter for Android,False,2022-11-28 18:44:00+00:00,1597300291426476032,['1597300291426476032'],es,
1432802602140454914,False,Patria XXI,PatriaXXI_,,"(4/6) Desde #LaMañanera se expresó un mensaje de aliento a la @miseleccionmx debido a su desempeño actual el Mundial de #Qatar2022.

📷 Récord https://t.co/oiAAammMot",Twitter for iPhone,False,2022-11-28 18:43:56+00:00,1597300272690528256,['1597300272690528256'],es,replied_to
1270463190602846209,False,Freddy Mugres,FMugres,Elm street,@miseleccionmx @Lc24C Ya para que! Vendidos!,Twitter for iPhone,False,2022-11-28 18:43:51+00:00,1597300253837103104,['1597300253837103104'],es,replied_to
