,user_id,verified,name,username,location,text,source,possibly_sensitive,created_at,tweet_id,edit_history_tweet_ids,lang,type
0,8.722421639329546e+17,False,Dante123,Coloso1964,,@miseleccionmx that they play without a technical director and they do better,Twitter Web App,False,2022-11-28 18:44:48+00:00,1597300494229069825,['1597300494229069825'],es,replied_to
1,125116235.0,False,Araceli Oropeza Huer,Chellyoh,Querétaro,@rmagallan77 @Canelo @miseleccionmx Agreed! Fart! I hope he offers a public apology!😓,Twitter for iPhone,False,2022-11-28 18:44:45+00:00,1597300480170156035,['1597300480170156035'],es,replied_to
2,129323393.0,False,victor,huesos44,,"@RaulOrvananos @miseleccionmx That's obvious, although to win you have to score goals. And to score goals you have to recover balls and be faster than the Arabs.",Twitter for iPhone,False,2022-11-28 18:44:28+00:00,1597300410074947585,['1597300410074947585'],es,replied_to
3,846825355.0,False,lizbeth leyva ,lizbethleyva5,Sinaloa,"@miseleccionmx I don't know if they get very tired, if they win Argentina it happens and the father will have fulfilled his mission.",Twitter for Android,False,2022-11-28 18:44:22+00:00,1597300382073753600,['1597300382073753600'],es,replied_to
4,1.4120789841840333e+18,False,Alejandro,MxPensemos,Noroeste de México.,"@_MarcoCamacho_ @rgaribay_10 @miseleccionmx @HenryMartinM And the team was also affected by leaving the Copa América.

In any case, the owners are responsible, stopping consuming their product is the way.",Twitter Web App,False,2022-11-28 18:44:11+00:00,1597300336188063744,['1597300336188063744'],es,replied_to
5,2952998067.0,False,Abraham Lasnalg 🇶🇦 🇲🇽 🇺🇸,geo_jerry,"Dallas, TX","@enfadosoinc @miseleccionmx I couldn't agree more with your comment, it's true that we're not Brazil, so let's put our feet on the ground and get to work so that in 20 years we can aspire to be, I've been stuck seeing the same thing for those 20 years and nothing that evolves",Twitter Web App,False,2022-11-28 18:44:09+00:00,1597300328214327296,['1597300328214327296'],es,replied_to
6,1.225143372580606e+18,False,Caleb Pérez,MaticesSin,,@miseleccionmx @Lc24C Useless,Twitter for Android,False,2022-11-28 18:44:05+00:00,1597300313337212928,['1597300313337212928'],es,replied_to
7,9.798460785509868e+17,False,Masperfectaquenormal,Barbaralopezjv2,,Don't stop jogging until you get home please!!. https://t.co/EhHwEXlkRG,Twitter for Android,False,2022-11-28 18:44:01+00:00,1597300297390764032,['1597300297390764032'],es,quoted
8,288430099.0,False,Matias,JCRDZ777,"Jalisco, México",@miseleccionmx @HenryMartinM I shit on the mother who gave birth to him. I have the same goals that I am dead in a World Cup,Twitter for Android,False,2022-11-28 18:44:00+00:00,1597300291564875776,['1597300291564875776'],es,replied_to
9,232299027.0,False,Ramon Santoyo 💫,aptanetworks,"Cuernavaca, Morelos.","Everyone noticed the ""arrangement"" between Argentines to eliminate @miseleccionmx except the Mexican Federations !!!

https://t.co/E5n4Got2Ye",Twitter for Android,False,2022-11-28 18:44:00+00:00,1597300291426476032,['1597300291426476032'],es,
