,user_id,verified,name,username,location,text,tweet_id,created_at,edit_history_tweet_ids,possibly_sensitive,source,lang,type,geo.coordinates.type,geo.coordinates.coordinates
0,1.5034813266948506e+18,False,Tiempo Deportivo,TiempoDeportiv8,,"#QatarWorldCup2022

Group C

NEXT MATCH

📅 Wednesday 30 November 2022
⏰ 4:00 p.m.
⚽ #Argentina🇦🇷 🆚 #Poland 🇬🇮
🏟️ 947
📺 @televicion.publica7mundial

#Qatar2022
#MajorSelection
#POL
#Poland
#FIFAWorldCup
#FIFAWorldCup https://t.co/2UgGEdS3a2",1597285067906174981,2022-11-28 17:43:30+00:00,['1597285067906174981'],False,Twitter for Android,es,,,
1,3548232912.0,False,Barça Boy 🇧🇩🤟,Musfiq141,"Dhaka, Bangladesh","@LigaAFA_Eng @bff_football @JohnCena Unbelievable crowd to watch Argentina-Mexico match at Dhaka University,Bangladesh. 🇧🇩💙🇦🇷

#Selecciónmayor 🫶🤟
#Albicelestaforever 🇧🇩💙🇦🇷
#VamosArgentina ✊💪
#MexicoVsArgentina #Messi𓃵 #WorldCup #Argentina #GOAT𓃵 #Bangladesh #WorldcupQatar2022 #Qatar2022 https://t.co/8mdRwcLgdo",1597279525141770242,2022-11-28 17:21:29+00:00,['1597279525141770242'],False,Twitter for Android,en,replied_to,,
2,2495199115.0,True,Selección Argentina 🇦🇷,Argentina,Argentina,"@budweiser_ar Unbelievable crowd to watch Argentina-Mexico match at Dhaka University,Bangladesh. 🇧🇩💙🇦🇷

#Selecciónmayor 🫶🤟
#Albicelestaforever 🇧🇩💙🇦🇷
#VamosArgentina ✊💪
#MexicoVsArgentina #Messi𓃵 #WorldCup #Argentina #GOAT𓃵 #Bangladesh #WorldcupQatar2022 #Qatar2022 https://t.co/ru6vq4kWVC",1597276983658156032,2022-11-28 17:11:23+00:00,['1597276983658156032'],False,Twitter for Android,en,replied_to,,
3,1.2294405851085332e+18,False,David Colombo,hollywoodavid79, ,"@golazoargentino Unbelievable crowd to watch Argentina-Mexico match at Dhaka University,Bangladesh. 🇧🇩💙🇦🇷

#Selecciónmayor 🫶🤟
#Albicelestaforever 🇧🇩💙🇦🇷
#VamosArgentina ✊💪
#MexicoVsArgentina #Messi𓃵 #WorldCup #Argentina #GOAT𓃵 #Bangladesh #WorldcupQatar2022 #Qatar2022 https://t.co/ikhkJQCnLT",1597274170777182216,2022-11-28 17:00:12+00:00,['1597274170777182216'],False,Twitter for Android,en,replied_to,,
4,3548232912.0,False,Barça Boy 🇧🇩🤟,Musfiq141,"Dhaka, Bangladesh","#SelecciónMayor New day at the office! 😎

Let's go guys! 💪🇦🇷

#All together

📝 https://t.co/pEBrIKPrO9 https://t.co/SqE8vB4bI0",1597263034929381376,2022-11-28 16:15:57+00:00,['1597263034929381376'],False,Twitter Web App,es,,,
5,1.5085956535507476e+18,False,Damian Gallardo,DamianAG3031492,"San Miguel, Argentina","@candy_pepper 🇨🇲 #CAMERUM vs #SERBIA🇷🇸
🇰🇷 #KOREADELSUR vs #GHANA🇬🇭
🇧🇷 #BRAZIL vs #SWITZERLAND🇨🇭
🇵🇹 #PORTUGAL vs #URUGUAY

#FIFAWorldCup #Qatar2022
#VamosArgentina #SeleccionArgentina #Argentina #SeleccionMayor #QatarWorldCup2022 #Qatar #Doha #AbuDabi #Fifa #GirlsSoccer #BoddiesSoccer https://t.co/Ln7doBn4Z5",1597199096586149889,2022-11-28 12:01:53+00:00,['1597199096586149889'],False,Twitter for iPhone,es,replied_to,,
6,1.127322497404289e+18,False,レイエス,ReyesDesignz,UK,"@Ridotto_Nordic @ridotto_io 🇨🇲 #CAMERUM vs #SERBIA🇷🇸
🇰🇷 #KOREADELSUR vs #GHANA🇬🇭
🇧🇷 #BRAZIL vs #SWITZERLAND🇨🇭
🇵🇹 #PORTUGAL vs #URUGUAY

#FIFAWorldCup #Qatar2022
#VamosArgentina #SeleccionArgentina #Argentina #SeleccionMayor #QatarWorldCup2022 #Qatar #Doha #AbuDabi #Fifa #GirlsSoccer #BoddiesSoccer https://t.co/FmxGnVk8ys",1597198795166588929,2022-11-28 12:00:41+00:00,['1597198795166588929'],False,Twitter for iPhone,es,replied_to,,
7,2495199115.0,True,Selección Argentina 🇦🇷,Argentina,Argentina,"@El_Malque 🇨🇲 #CAMERUM vs #SERBIA🇷🇸
🇰🇷 #KOREADELSUR vs #GHANA🇬🇭
🇧🇷 #BRAZIL vs #SWITZERLAND🇨🇭
🇵🇹 #PORTUGAL vs #URUGUAY

#FIFAWorldCup #Qatar2022
#VamosArgentina #SeleccionArgentina #Argentina #SeleccionMayor #QatarWorldCup2022 #Qatar #Doha #AbuDabi #Fifa #GirlsSoccer #BoddiesSoccer https://t.co/O7u4zvKJun",1597197376522924032,2022-11-28 11:55:03+00:00,['1597197376522924032'],False,Twitter for iPhone,es,replied_to,,
8,1.2294405851085332e+18,False,David Colombo,hollywoodavid79, ,"@CMonteroOficial 🇨🇲 #CAMERUM vs #SERBIA🇷🇸
🇰🇷 #KOREADELSUR vs #GHANA🇬🇭
🇧🇷 #BRAZIL vs #SWITZERLAND🇨🇭
🇵🇹 #PORTUGAL vs #URUGUAY

#FIFAWorldCup #Qatar2022
#VamosArgentina #SeleccionArgentina #Argentina #SeleccionMayor #QatarWorldCup2022 #Qatar #Doha #AbuDabi #Fifa #GirlsSoccer #BoddiesSoccer https://t.co/mgruTvBnPt",1597195695001579521,2022-11-28 11:48:22+00:00,['1597195695001579521'],False,Twitter for iPhone,es,replied_to,,
9,3548232912.0,False,Barça Boy 🇧🇩🤟,Musfiq141,"Dhaka, Bangladesh","@UCL_ARAB 🇨🇲 #CAMERUM vs #SERBIA🇷🇸
🇰🇷 #KOREADELSUR vs #GHANA🇬🇭
🇧🇷 #BRAZIL vs #SWITZERLAND🇨🇭
🇵🇹 #PORTUGAL vs #URUGUAY

#FIFAWorldCup #Qatar2022
#VamosArgentina #SeleccionArgentina #Argentina #SeleccionMayor #QatarWorldCup2022 #Qatar #Doha #AbuDabi #Fifa #GirlsSoccer #BoddiesSoccer https://t.co/MGvAKbKPNB",1597194684132388868,2022-11-28 11:44:21+00:00,['1597194684132388868'],False,Twitter for iPhone,es,replied_to,,
